"","Term","Estimate","Std..Error","t.value","Pr...t..","X2.5..","X97.5.."
"AGEGROUP47-63...33","AGEGROUP47-63",0.754188969547386,0.0827654389687771,-3.40857637134442,0.00108673269546236,0.639427021405302,0.889547958947473
"AGEGROUP64-85...34","AGEGROUP64-85",0.613708951491898,0.0858817518457516,-5.68496185856297,2.79162412132363e-07,0.517099360288334,0.728368097247833
"EDUCATHigh school graduate/GED or equivalent equivalent...35","EDUCATHigh school graduate/GED or equivalent equivalent",1.17050576266683,0.0782061636900423,2.01308853114179,0.0479524490451855,1.0014597203124,1.36808671646712
"EDUCATSome college or AA degree...36","EDUCATSome college or AA degree",1.52887200404545,0.0844463156575497,5.02722005023813,3.67381255070737e-06,1.29189139902157,1.80932360608968
"EDUCATCollege or above...37","EDUCATCollege or above",2.42627744765037,0.0984635990510099,9.00188675578761,2.62298744858584e-13,1.99367309171496,2.95275202210454
"RACEETHNH Black...38","RACEETHNH Black",0.453975350302952,0.0723337585968279,-10.9176184429093,9.14815593448497e-17,0.392987486148528,0.524427942229172
"RACEETHMexican-American...39","RACEETHMexican-American",1.11364529275181,0.0742501870849921,1.4496755680659,0.151614715464844,0.960358480979003,1.29139885015018
"RACEETHOther Hispanic...40","RACEETHOther Hispanic",1.1926344284373,0.104071911023565,1.69272058083403,0.0949552912206118,0.969087651108342,1.46774843149348
"RACEETHOther...41","RACEETHOther",0.660387196500676,0.104435872792799,-3.97305009782153,0.000170153705584885,0.536215184362304,0.813313874765912
"PIRCAT1-1.99...42","PIRCAT1-1.99",1.19951299335448,0.0754918699732001,2.40973810308823,0.0185962604912917,1.03184849430314,1.39442120540956
"PIRCAT2-2.99...43","PIRCAT2-2.99",1.30207307017104,0.0954599442272695,2.76511437159794,0.00726922589435813,1.07634259536387,1.57514372037975
"PIRCAT3-3.99...44","PIRCAT3-3.99",1.67075996165699,0.102639384200084,5.00079568654696,4.06430280045227e-06,1.36147788896746,2.05030053891884
"PIRCAT4+...45","PIRCAT4+",2.23044813373009,0.0975880406125906,8.2202954078888,7.17655582815781e-12,1.83596331718095,2.70969405036851
"cycleyr2007-2008...46","cycleyr2007-2008",1.02167680520891,0.137293457705657,0.156199753153435,0.876325175195866,0.776951023788504,1.34348686383356
"cycleyr2009-2010...47","cycleyr2009-2010",1.28870083211088,0.126884085111266,1.99894733675609,0.0494981230357584,1.00057243955188,1.65979969968698
"cycleyr2011-2012...48","cycleyr2011-2012",1.44547079592925,0.151692824289843,2.42882338407398,0.017719098156032,1.06811272260455,1.95614730324479
"cycleyr2013-2014...49","cycleyr2013-2014",1.48619336051965,0.107328254464752,3.69164728604503,0.000437520254516339,1.19980447433582,1.84094221358476
"cycleyr2015-2016...50","cycleyr2015-2016",1.1199279803847,0.114347163815247,0.990530733184764,0.325326434168239,0.891549920540332,1.40680701366493
"(Intercept)...51","(Intercept)",0.000963467385910178,0.506984049403671,-13.6986004361515,1.72479095191688e-21,0.000350510560023046,0.00264833505630061
"FOODSECMarginally Food Secure...52","FOODSECMarginally Food Secure",0.845380677120532,0.0914909730981916,-1.83589967311562,0.0706196344449669,0.704377221915704,1.01461044879486
"FOODSECLow Food Security...53","FOODSECLow Food Security",0.863688227444832,0.0731225124690655,-2.00408079831928,0.0489321537229066,0.746483566927342,0.999295077984487
"FOODSECVery Low Food Secure...54","FOODSECVery Low Food Secure",0.739563986291418,0.0889713198591722,-3.39091827149285,0.00114856891572116,0.619314426562377,0.883161874421737
"log_URXUCR_final...55","log_URXUCR_final",1.97795030323059,0.0350824797768684,19.4416447316696,6.28185055467152e-30,1.84428433602325,2.12130381722262
"SEXFemale...56","SEXFemale",1.22580483917746,0.0486311113937741,4.18657180552485,8.10901204375945e-05,1.112495785217,1.3506545586218
"AGEGROUP32-46...57","AGEGROUP32-46",0.878075180502924,0.0643750904561044,-2.01977288257117,0.0472363683526851,0.772274570055803,0.998370336808488
"AGEGROUP47-63...58","AGEGROUP47-63",0.886406753832733,0.0694586692831184,-1.73598695262245,0.0869659856671759,0.771737902315745,1.01811370269957
"AGEGROUP64-85...59","AGEGROUP64-85",0.923049173671759,0.0723775097449982,-1.10632115229042,0.272375154329318,0.798975368601419,1.06639054281179
"EDUCATHigh school graduate/GED or equivalent equivalent...60","EDUCATHigh school graduate/GED or equivalent equivalent",1.0980497025963,0.064240814410195,1.45601529810539,0.149859063161867,0.966002694142512,1.24814677710822
"EDUCATSome college or AA degree...61","EDUCATSome college or AA degree",1.26505275203715,0.0694693474027073,3.38442538062455,0.00117213019115266,1.10137739960126,1.45305184763746
"EDUCATCollege or above...62","EDUCATCollege or above",1.33467472574297,0.0791924932114599,3.64539111383626,0.000509097458822406,1.13967503368776,1.56303908647798
"RACEETHNH Black...63","RACEETHNH Black",0.809240522291877,0.055052230666505,-3.84469612584752,0.000263012814582991,0.72509158360631,0.903155184428113
"RACEETHMexican-American...64","RACEETHMexican-American",1.50486042946636,0.079824071320027,5.12001141066543,2.57238386734514e-06,1.28337851531523,1.76456507970873
"RACEETHOther Hispanic...65","RACEETHOther Hispanic",1.4625946435808,0.093268246493575,4.07654293807007,0.000119105446443031,1.21433227695443,1.76161264262559
"RACEETHOther...66","RACEETHOther",1.13607841123721,0.096235992457286,1.32572376130441,0.189241428326995,0.937672729834704,1.37646549314364
"PIRCAT1-1.99...67","PIRCAT1-1.99",1.13582157029437,0.0661525440504472,1.92519035190035,0.0582692415375523,0.995429626755034,1.29601390683086
"PIRCAT2-2.99...68","PIRCAT2-2.99",1.20333025334285,0.078056173844068,2.37127846535605,0.0204826231177361,1.02985168240419,1.40603129882722
"PIRCAT3-3.99...69","PIRCAT3-3.99",1.54834395164312,0.0963707287725283,4.536501353047,2.30882401654155e-05,1.27759650653491,1.87646802439367
"PIRCAT4+...70","PIRCAT4+",1.59266524453437,0.0910027854841093,5.11422661222954,2.63037614417185e-06,1.3283127590595,1.90962750590735
"cycleyr2007-2008...71","cycleyr2007-2008",0.804255806227516,0.096492732229477,-2.25755752194721,0.0270947443596471,0.663460088740978,0.974930388168685
"cycleyr2009-2010...72","cycleyr2009-2010",0.841844011354739,0.108313440051913,-1.58946610405593,0.116461929901708,0.678286925832968,1.04484004108368
"cycleyr2011-2012...73","cycleyr2011-2012",0.680093239761279,0.0947228843837759,-4.07003413614098,0.000121824857816347,0.563017702111755,0.821513805044063
"cycleyr2013-2014...74","cycleyr2013-2014",0.554575183251286,0.0829308642938205,-7.10896840319426,7.90243916954668e-10,0.470032570673774,0.654324089578155
"cycleyr2015-2016...75","cycleyr2015-2016",0.318371239487827,0.111934480449965,-10.2250633829056,1.57128240350249e-15,0.254670827764011,0.398004934538244
"(Intercept)...76","(Intercept)",0.00225787246902312,0.375829787217662,-16.2130105215383,2.12184246989419e-25,0.00106700334703391,0.00477785575888223
"FOODSECMarginally Food Secure...77","FOODSECMarginally Food Secure",0.855918049715682,0.0451611516854139,-3.44501054403166,0.000968945707635547,0.782194599703695,0.936590086541907
"FOODSECLow Food Security...78","FOODSECLow Food Security",0.866865265006549,0.0621932969982282,-2.29722051824015,0.0246007355071689,0.765740195148029,0.981345099077119
"FOODSECVery Low Food Secure...79","FOODSECVery Low Food Secure",0.739640327215746,0.0685257985280088,-4.40113448837108,3.77546856833466e-05,0.645156954845762,0.847960809435286
"log_URXUCR_final...80","log_URXUCR_final",1.38777885710559,0.0253853549150655,12.9091960949774,3.43848399984974e-20,1.31926535259399,1.45985047848218
"SEXFemale...81","SEXFemale",3.50796105538014,0.0341698867960103,36.7292692621921,1.76660700023026e-47,3.27685880609616,3.75536191647026
"AGEGROUP32-46...82","AGEGROUP32-46",0.98745977608012,0.0520093593943398,-0.242639330052414,0.808994354257029,0.890164579419673,1.0953893604842
"AGEGROUP47-63...83","AGEGROUP47-63",0.988929693370444,0.0553804439945266,-0.201010278856586,0.84127346674965,0.885515913020429,1.1044205124377
