RACEETH,FOODSEC,contrast,exp.estimate,exp.lower.CL,exp.upper.CL,%Difference,%Lower,%Higher,p.value,model
NH White,4,Very Low Food Secure - Fully Food Secure,0.66,0.51,0.86,-33.81,-49.12,-13.90,0.00,EPB
NH Black,1,,,,,,,,,
NH Black,2,Marginally Food Secure - Fully Food Secure,0.99,0.69,1.41,-1.33,-30.77,40.62,1.00,EPB
NH Black,3,Low Food Security - Fully Food Secure,1.14,0.84,1.54,13.88,-15.89,54.18,0.67,EPB
NH Black,4,Very Low Food Secure - Fully Food Secure,0.92,0.61,1.38,-8.10,-38.85,38.11,0.95,EPB
Mexican-American,1,,,,,,,,,
Mexican-American,2,Marginally Food Secure - Fully Food Secure,0.79,0.60,1.04,-21.44,-40.49,3.71,0.11,EPB
Mexican-American,3,Low Food Security - Fully Food Secure,1.17,0.87,1.59,17.21,-13.39,58.63,0.51,EPB
Mexican-American,4,Very Low Food Secure - Fully Food Secure,0.95,0.64,1.39,-5.39,-35.55,38.87,0.98,EPB
Other Hispanic,1,,,,,,,,,
Other Hispanic,2,Marginally Food Secure - Fully Food Secure,0.86,0.48,1.53,-13.89,-51.65,53.35,0.90,EPB
Other Hispanic,3,Low Food Security - Fully Food Secure,0.76,0.48,1.21,-23.94,-52.24,21.12,0.41,EPB
Other Hispanic,4,Very Low Food Secure - Fully Food Secure,0.63,0.33,1.19,-37.32,-67.00,19.05,0.23,EPB
Other,1,,,,,,,,,
Other,2,Marginally Food Secure - Fully Food Secure,0.86,0.55,1.34,-13.86,-44.63,34.02,0.81,EPB
Other,3,Low Food Security - Fully Food Secure,1.02,0.58,1.80,2.35,-41.84,80.11,1.00,EPB
Other,4,Very Low Food Secure - Fully Food Secure,0.78,0.46,1.34,-21.85,-54.36,33.80,0.62,EPB
NH White,1,,,,,,,,,
NH White,2,Marginally Food Secure - Fully Food Secure,0.80,0.62,1.04,-19.89,-38.16,3.77,0.12,MPB
NH White,3,Low Food Security - Fully Food Secure,0.87,0.53,1.41,-13.26,-46.67,41.08,0.87,MPB
NH White,4,Very Low Food Secure - Fully Food Secure,0.72,0.47,1.11,-27.98,-53.43,11.37,0.20,MPB
NH Black,1,,,,,,,,,
NH Black,2,Marginally Food Secure - Fully Food Secure,1.15,0.86,1.53,14.92,-13.72,53.06,0.58,MPB
NH Black,3,Low Food Security - Fully Food Secure,1.11,0.83,1.49,11.32,-17.07,49.43,0.77,MPB
NH Black,4,Very Low Food Secure - Fully Food Secure,1.11,0.78,1.57,10.52,-22.45,57.50,0.88,MPB
Mexican-American,1,,,,,,,,,
Mexican-American,2,Marginally Food Secure - Fully Food Secure,0.87,0.59,1.27,-13.25,-40.63,26.75,0.75,MPB
Mexican-American,3,Low Food Security - Fully Food Secure,1.25,0.90,1.73,24.69,-10.20,73.13,0.29,MPB
Mexican-American,4,Very Low Food Secure - Fully Food Secure,1.43,0.98,2.08,42.53,-2.18,107.69,0.07,MPB
Other Hispanic,1,,,,,,,,,
Other Hispanic,2,Marginally Food Secure - Fully Food Secure,1.35,0.82,2.24,35.32,-18.18,123.81,0.39,MPB
Other Hispanic,3,Low Food Security - Fully Food Secure,0.80,0.49,1.33,-19.58,-51.35,32.94,0.66,MPB
Other Hispanic,4,Very Low Food Secure - Fully Food Secure,1.07,0.62,1.86,7.16,-38.14,85.64,0.99,MPB
Other,1,,,,,,,,,
Other,2,Marginally Food Secure - Fully Food Secure,0.96,0.62,1.49,-3.62,-37.52,48.67,1.00,MPB
Other,3,Low Food Security - Fully Food Secure,0.82,0.53,1.26,-18.07,-46.61,25.72,0.61,MPB
Other,4,Very Low Food Secure - Fully Food Secure,0.76,0.30,1.92,-24.38,-70.22,92.06,0.86,MPB
NH White,1,,,,,,,,,
NH White,2,Marginally Food Secure - Fully Food Secure,0.69,0.50,0.96,-30.53,-49.58,-4.29,0.02,PPB
NH White,3,Low Food Security - Fully Food Secure,0.73,0.41,1.30,-27.15,-59.22,30.15,0.48,PPB
NH White,4,Very Low Food Secure - Fully Food Secure,0.52,0.30,0.91,-48.19,-70.35,-9.46,0.01,PPB
NH Black,1,,,,,,,,,
NH Black,2,Marginally Food Secure - Fully Food Secure,0.89,0.62,1.27,-10.84,-37.63,27.46,0.83,PPB
NH Black,3,Low Food Security - Fully Food Secure,1.03,0.75,1.40,2.65,-24.99,40.49,1.00,PPB
NH Black,4,Very Low Food Secure - Fully Food Secure,1.10,0.75,1.63,10.44,-25.02,62.69,0.90,PPB
Mexican-American,1,,,,,,,,,
Mexican-American,2,Marginally Food Secure - Fully Food Secure,0.94,0.60,1.48,-5.81,-40.05,47.98,0.99,PPB
Mexican-American,3,Low Food Security - Fully Food Secure,1.27,0.86,1.85,26.54,-13.62,85.37,0.37,PPB
Mexican-American,4,Very Low Food Secure - Fully Food Secure,1.38,0.83,2.30,37.84,-17.37,129.92,0.35,PPB
Other Hispanic,1,,,,,,,,,
Other Hispanic,2,Marginally Food Secure - Fully Food Secure,1.70,0.82,3.52,69.95,-17.84,251.52,0.23,PPB
Other Hispanic,3,Low Food Security - Fully Food Secure,0.82,0.45,1.47,-18.43,-54.59,46.52,0.79,PPB
Other Hispanic,4,Very Low Food Secure - Fully Food Secure,1.03,0.54,1.96,2.87,-45.88,95.53,1.00,PPB
Other,1,,,,,,,,,
Other,2,Marginally Food Secure - Fully Food Secure,1.27,0.69,2.34,27.03,-30.96,133.74,0.73,PPB
Other,3,Low Food Security - Fully Food Secure,0.83,0.47,1.47,-17.21,-53.35,46.92,0.82,PPB
Other,4,Very Low Food Secure - Fully Food Secure,1.12,0.38,3.34,12.13,-62.41,234.42,0.99,PPB
