"SEX","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value","exp.estimate","exp.lower.CL","exp.upper.CL","model"
"Male","Marginally Food Secure - Fully Food Secure",-0.0453363926293422,0.096069920147599,69,-0.298265697728657,0.207592912469972,-0.471910381102522,0.96499568784198,0.955675945410815,0.742104138166991,1.23071206002538,"MPB"
"Male","Low Food Security - Fully Food Secure",0.0757297865848313,0.115736708565578,69,-0.228977506051605,0.380437079221267,0.654328151572773,0.913680219898077,1.07867106338212,0.795346423785295,1.46292386334034,"MPB"
"Male","Low Food Security - Marginally Food Secure",0.121066179214174,0.114199364738579,69,-0.179593651893575,0.421726010321922,1.06013005844046,0.714719108042197,1.12869960634871,0.835609690848775,1.52459074532476,"MPB"
"Male","Very Low Food Secure - Fully Food Secure",0.0625754464773689,0.137130687041332,69,-0.29845711530542,0.423608008260158,0.456319791196761,0.968175690928529,1.06457477430468,0.741962099985893,1.52746272364507,"MPB"
"Male","Very Low Food Secure - Marginally Food Secure",0.107911839106711,0.170426322469077,69,-0.340780230653613,0.556603908867036,0.63318762937158,0.92097543525399,1.11394953427132,0.711215194330729,1.74473714115598,"MPB"
"Male","Very Low Food Secure - Low Food Security",-0.0131543401074624,0.185314427996292,69,-0.501043259198549,0.474734578983624,-0.0709838961255927,0.999870400274003,0.98693180010481,0.605898220978811,1.60758745335907,"MPB"
"Female","Marginally Food Secure - Fully Food Secure",-0.170896115549757,0.0902016964852582,69,-0.408375780108069,0.0665835490085549,-1.89459979367114,0.239862153865672,0.842909134075447,0.664729039932637,1.06885026172442,"MPB"
"Female","Low Food Security - Fully Food Secure",-0.198032805826045,0.100890645033155,69,-0.463653935728641,0.0675883240765515,-1.96284606725398,0.21211883089292,0.820342940668582,0.628981184723288,1.06992475554072,"MPB"
"Female","Low Food Security - Marginally Food Secure",-0.0271366902762873,0.10993099455672,69,-0.316558915457587,0.262285534905012,-0.246852040097624,0.994667069276705,0.973228201600145,0.728652081424374,1.2998976555976,"MPB"
"Female","Very Low Food Secure - Fully Food Secure",-0.298354426252214,0.124427151490072,69,-0.625941593114844,0.029232740610416,-2.39782412985658,0.086989702099927,0.742038295283599,0.534757667249546,1.02966421126682,"MPB"
"Female","Very Low Food Secure - Marginally Food Secure",-0.127458310702457,0.141549719802618,69,-0.5001251372354,0.245208515830486,-0.900449049847566,0.804604137038201,0.880330115413343,0.606454764891425,1.27788774525074,"MPB"
"Female","Very Low Food Secure - Low Food Security",-0.10032162042617,0.15969196316011,69,-0.520752669082989,0.320109428230649,-0.628219595031126,0.922638740979158,0.904546450632995,0.594073239093434,1.37727846923612,"MPB"
"Male","Marginally Food Secure - Fully Food Secure",-0.0530217419940319,0.10851557118811,69,-0.338717493285337,0.232674009297273,-0.488609527771083,0.961384321054366,0.948359393033882,0.712683758599444,1.26197002177102,"PPB"
"Male","Low Food Security - Fully Food Secure",-0.0664195661296235,0.140385435826783,69,-0.43602110920554,0.303181976946293,-0.4731229114933,0.964740645033209,0.935738177872788,0.646604076493022,1.35416086808128,"PPB"
"Male","Low Food Security - Marginally Food Secure",-0.0133978241355915,0.160483469180566,69,-0.43591272034249,0.409117072071307,-0.083484138297865,0.999789327162406,0.986691527227123,0.646674164972053,1.50548796076285,"PPB"
"Male","Very Low Food Secure - Fully Food Secure",0.0351608867042603,0.154726813017212,69,-0.372198099714685,0.442519873123206,0.227244948814069,0.995824489520243,1.03578633964542,0.689217695170904,1.55662477750231,"PPB"
