"SEX","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value","exp.estimate","exp.lower.CL","exp.upper.CL","model"
"Male","Low Food Security - Fully Food Secure",-0.301599839096624,0.0910457999451765,67,-0.541478254926938,-0.0617214232663101,-3.31261671903848,0.007948220623893,0.739633978280014,0.581887438306828,0.940144752768933,"BP3"
"Male","Low Food Security - Marginally Food Secure",-0.12632337727736,0.120366685037576,67,-0.443453544104893,0.190806789550173,-1.04948788145096,0.721063161126514,0.881329798666109,0.641816049180778,1.210225601258,"BP3"
"Male","Very Low Food Secure - Fully Food Secure",-0.242697743936152,0.123634801652373,67,-0.568438419285533,0.0830429314132289,-1.96302125851709,0.212341262696031,0.784508600420931,0.566409242203806,1.08658845632493,"BP3"
"Male","Very Low Food Secure - Marginally Food Secure",-0.0674212821168879,0.138650725883879,67,-0.432724420743548,0.297881856509772,-0.486267069191934,0.961895811234296,0.934801303299579,0.64873924625245,1.34700263888543,"BP3"
"Male","Very Low Food Secure - Low Food Security",0.0589020951604721,0.11846483881213,67,-0.253217276441061,0.371021466762005,0.49721162626054,0.959432011186432,1.06067139079423,0.776299191972606,1.44921418298869,"BP3"
"Female","Marginally Food Secure - Fully Food Secure",-0.261761138620691,0.12339333852865,67,-0.586865630954104,0.0633433537127227,-2.12135551028887,0.156870569368952,0.769694852125973,0.556067476794462,1.06539258293684,"BP3"
"Female","Low Food Security - Fully Food Secure",-0.0918798653896143,0.105968895591107,67,-0.371076168975165,0.187316438195936,-0.867045606893394,0.82177892177579,0.912214731524024,0.68999138362061,1.20600885194096,"BP3"
"Female","Low Food Security - Marginally Food Secure",0.169881273231076,0.152419050731083,67,-0.231697277934913,0.571459824397066,1.11456719101868,0.681891609860791,1.1851641322589,0.793186201931349,1.77085029589883,"BP3"
"Female","Very Low Food Secure - Fully Food Secure",-0.192465633871893,0.146693444981991,67,-0.578958928632994,0.194027660889209,-1.31202613651565,0.558616828702345,0.824922667114536,0.560481564245796,1.21412986640348,"BP3"
"Female","Very Low Food Secure - Marginally Food Secure",0.0692955047487978,0.184680941103821,67,-0.417283465535521,0.555874475033117,0.375217411903064,0.981837453847421,1.07175287042133,0.658834136700686,1.74346493490548,"BP3"
"Female","Very Low Food Secure - Low Food Security",-0.100585768482279,0.161378073907327,67,-0.52576866260751,0.324597125642952,-0.623292657093188,0.924257914831587,0.904307548000622,0.591100832591124,1.38347316782848,"BP3"
"Male","Marginally Food Secure - Fully Food Secure",-0.177044486525454,0.113289763345993,67,-0.47552908414107,0.121440111090162,-1.56275802240624,0.406657356341227,0.837742515440277,0.621556113970878,1.12912174203001,"TRS"
"Male","Low Food Security - Fully Food Secure",-0.196815958493912,0.105548541920789,67,-0.474904756048595,0.0812728390607705,-1.86469613802545,0.253025638987711,0.821341780381838,0.621944290075894,1.08466679566829,"TRS"
"Male","Low Food Security - Marginally Food Secure",-0.019771471968458,0.128395211264541,67,-0.358054400965539,0.318511457028623,-0.153989169640615,0.998686109152939,0.980422701777504,0.699035045790685,1.37507937541736,"TRS"
"Male","Very Low Food Secure - Fully Food Secure",-0.193921206263173,0.121474009726366,67,-0.513968842016419,0.126126429490073,-1.59640079964433,0.387610508504428,0.823722805909609,0.598117029893029,1.13442558406496,"TRS"
"Male","Very Low Food Secure - Marginally Food Secure",-0.016876719737719,0.160364423909874,67,-0.439388949694567,0.405635510219129,-0.10523979899185,0.999578521531814,0.983264894317439,0.644430079995405,1.50025562494534,"TRS"
"Male","Very Low Food Secure - Low Food Security",0.00289475223073901,0.15057445068053,67,-0.393823830235612,0.39961333469709,0.0192247238336651,0.999997419901426,1.00289894607171,0.674472867500815,1.49124797229969,"TRS"
"Female","Marginally Food Secure - Fully Food Secure",-0.142882394702082,0.108702327450138,67,-0.429280472609118,0.143515683204955,-1.31443730832371,0.557103523983418,0.866856009760259,0.650977322266058,1.15432491417936,"TRS"
"Female","Low Food Security - Fully Food Secure",-0.0805150296041699,0.100054474591064,67,-0.344128605146271,0.183098545937931,-0.804711932507223,0.851987468617582,0.922641036549979,0.70883776200336,1.20093274929388,"TRS"
"Female","Low Food Security - Marginally Food Secure",0.0623673650979118,0.126226271810098,67,-0.270201058005685,0.394935788201508,0.494091794073907,0.960143765953777,1.06435327916242,0.763226026206656,1.48428887900247,"TRS"
"Female","Very Low Food Secure - Fully Food Secure",-0.361101355612878,0.115520133177118,67,-0.665462309766942,-0.0567404014588145,-3.12587378218505,0.0136377744786278,0.696908359313218,0.514035828981348,0.944839316440457,"TRS"
"Female","Very Low Food Secure - Marginally Food Secure",-0.218218960910797,0.123921555024381,67,-0.544715145516536,0.108277223694942,-1.76094433989199,0.301135302732418,0.803949388902498,0.580006977398548,1.11435662863168,"TRS"
"Female","Very Low Food Secure - Low Food Security",-0.280586326008708,0.137710314462954,67,-0.643411762182142,0.0822391101647256,-2.03751133023656,0.184722138903717,0.755340735676747,0.525496493078512,1.08571538437926,"TRS"
"Male","Marginally Food Secure - Fully Food Secure",-0.0082843526767988,0.0567584576029645,67,-0.157825890045569,0.141257184691971,-0.145958030338832,0.998880093615565,0.991749868008893,0.853998458657782,1.15172081486133,"BUP"
"Male","Low Food Security - Fully Food Secure",0.022544153953345,0.0571135646010833,67,-0.127932984005571,0.173021291912261,0.394725037927635,0.97897707971164,1.02280019383949,0.879912345369617,1.18889141858632,"BUP"
"Male","Low Food Security - Marginally Food Secure",0.0308285066301438,0.06609196483222,67,-0.143304027024482,0.20496104028477,0.466448632725696,0.966123268293557,1.03130862612862,0.866490592288999,1.2274772418678,"BUP"
"Male","Very Low Food Secure - Fully Food Secure",0.0576009415761194,0.0692704752875609,67,-0.124906015206057,0.240107898358296,0.831536687701391,0.839294027384681,1.05929219188166,0.882579847771872,1.27138632341795,"BUP"
"Male","Very Low Food Secure - Marginally Food Secure",0.0658852942529182,0.0809093826630539,67,-0.147286697763286,0.279057286269122,0.814309689239587,0.847500641683198,1.06810419244963,0.863046508440032,1.32188306744971,"BUP"
"Male","Very Low Food Secure - Low Food Security",0.0350567876227744,0.0789929690122271,67,-0.173066028364302,0.243179603609851,0.443796303153867,0.970591096851148,1.03567852085087,0.841082077737294,1.27529765161263,"BUP"
"Female","Marginally Food Secure - Fully Food Secure",-0.282835061223034,0.0683449299942452,67,-0.462903483346023,-0.102766639100045,-4.13834736895407,0.000567318196430078,0.753644082742187,0.629453382310727,0.902337519209536,"BUP"
"Female","Low Food Security - Fully Food Secure",-0.284141622737889,0.0939912466254499,67,-0.531780408448,-0.0365028370277766,-3.02306473144438,0.0181699098657957,0.752660043381746,0.587557944760386,0.964155358556911,"BUP"
"Female","Low Food Security - Marginally Food Secure",-0.00130656151485409,0.113244929953982,67,-0.299673036569536,0.297059913539828,-0.0115374835357752,0.999999442262959,0.998694291665024,0.741060480751436,1.34589593442218,"BUP"
"Female","Very Low Food Secure - Fully Food Secure",-0.626432882145001,0.104611434756785,67,-0.902052682973863,-0.350813081316139,-5.98818746345862,5.52166270706422e-07,0.534495011199135,0.405735957078724,0.704115353871219,"BUP"
"Female","Very Low Food Secure - Marginally Food Secure",-0.343597820921967,0.122689082827951,67,-0.666846810399402,-0.020348831444531,-2.80055741718927,0.0329207515318979,0.709214101773794,0.513324638486465,0.979856808817627,"BUP"
"Female","Very Low Food Secure - Low Food Security",-0.342291259407112,0.125926305020158,67,-0.674069359855345,-0.0105131589588798,-2.71818711231398,0.0406268703476663,0.71014133923945,0.509630482568806,0.989541911140907,"BUP"
"Male","Marginally Food Secure - Fully Food Secure",0.00122797511475013,0.075631085618108,67,-0.198037284968889,0.20049323519839,0.0162363809102341,0.999998445675494,1.0012287293849,0.820339266243598,1.22200534558835,"EPB"
"Male","Low Food Security - Fully Food Secure",0.129115455205719,0.086165473179982,67,-0.0979047611922866,0.356135671603725,1.49845930673442,0.444145462813068,1.137821483996,0.906735256026508,1.42780124720883,"EPB"
"Male","Low Food Security - Marginally Food Secure",0.127887480090969,0.10241158415326,67,-0.141936373224061,0.397711333405998,1.24875990493013,0.598395858942213,1.13642512505111,0.867676462185462,1.48841431239769,"EPB"
"Male","Very Low Food Secure - Fully Food Secure",-0.0976879952565343,0.0769187513886267,67,-0.300345869006449,0.10496987849338,-1.27001535377209,0.585025635140514,0.906931826646897,0.74056203892499,1.11067715458257,"EPB"
"Male","Very Low Food Secure - Marginally Food Secure",-0.0989159703712844,0.0820262192468683,67,-0.315030492307903,0.117198551565334,-1.20590673664459,0.625296185878505,0.90581882044482,0.729766621661267,1.12434264752232,"EPB"
"Male","Very Low Food Secure - Low Food Security",-0.226803450462253,0.0794031275372651,67,-0.436006911325696,-0.0175999895988108,-2.85635411975191,0.0284628133131726,0.797077432095739,0.646613256965178,0.982553985574334,"EPB"
"Female","Marginally Food Secure - Fully Food Secure",-0.223690648904408,0.0979883715084113,67,-0.481860661594546,0.0344793637857304,-2.28282851792476,0.112345758296052,0.79956244163232,0.617633115782735,1.03508066800927,"EPB"
"Female","Low Food Security - Fully Food Secure",-0.226812153692595,0.0968853587726344,67,-0.482076058161837,0.0284517507766458,-2.34103642248842,0.0990133175623676,0.797070494977434,0.617500094056476,1.02886036792323,"EPB"
"Female","Low Food Security - Marginally Food Secure",-0.00312150478818751,0.114851922270553,67,-0.305721923323873,0.299478913747498,-0.0271785158356712,0.999992710959156,0.996883362042622,0.736591419873373,1.3491555979409,"EPB"
"Female","Very Low Food Secure - Fully Food Secure",-0.493352307529818,0.106286881839454,67,-0.773386409647044,-0.213318205412593,-4.64170459224709,9.61960510579285e-05,0.610576120604082,0.461447768259464,0.807899018469864,"EPB"
"Female","Very Low Food Secure - Marginally Food Secure",-0.26966165862541,0.13246789962435,67,-0.618674901733738,0.0793515844829178,-2.03567550621783,0.185369958141002,0.763637820903119,0.538657739329349,1.08258487521167,"EPB"
