"SEX","contrast","estimate","lower.CL","upper.CL","percent","percent_low","percent_high","SE","p.value","t.ratio","model"
"Female","FOODSEC3 - FOODSEC2",-0.0644976551946525,-0.246125483910961,0.117130173521656,-6.24616873956787,-21.8175887577475,12.4265769800059,0.0696324502236207,0.790852285733057,-0.926258590463525,"MCPP"
"Female","FOODSEC4 - FOODSEC1",0.0852444247080376,-0.0497778182873482,0.220266667703423,8.8983208574062,-4.85592062363027,24.6409063316649,0.0517648076338734,0.35694617226425,1.64676405852721,"MCPP"
"Female","FOODSEC4 - FOODSEC2",0.0680375258157155,-0.120982462035437,0.257057513666868,7.04054755637351,-11.3950501038675,29.3119496664641,0.0724664551040406,0.783997546518184,0.938883042064547,"MCPP"
"Female","FOODSEC4 - FOODSEC3",0.132535181010368,-0.0353670216849336,0.30043738370567,14.1719182217025,-3.47489168413464,35.0449342959254,0.0643703217411588,0.173147405615573,2.05894855618881,"MCPP"
"Male","FOODSEC2 - FOODSEC1",0.0470393476681872,-0.101059221352601,0.195137916688975,4.8163251048071,-9.61204976659122,21.5478609715817,0.0567780075796474,0.840847595335245,0.828478308299232,"MZP"
"Male","FOODSEC3 - FOODSEC1",0.136322421448808,-0.00743514341135532,0.280079986308971,14.6051345567287,-0.740757110957313,32.3235648840094,0.0551137540438779,0.0697364773030841,2.47347370567929,"MZP"
"Male","FOODSEC3 - FOODSEC2",0.0892830737806204,-0.0982972971900415,0.276863444751282,9.3390122599067,-9.36206003541272,31.8986244241972,0.0719145349964209,0.601924872768028,1.24151638865584,"MZP"
"Male","FOODSEC4 - FOODSEC1",0.275095930701134,0.0675142391033539,0.482677622298915,31.6656976636338,6.98454931299952,62.0407437576126,0.0795826383527072,0.00426018341162449,3.4567329809037,"MZP"
"Male","FOODSEC4 - FOODSEC2",0.228056583032947,-0.015095352988489,0.471208519054383,25.6156400560501,-1.49819892861034,60.1928985567993,0.0932195534211624,0.0743864244104051,2.44644577948787,"MZP"
"Male","FOODSEC4 - FOODSEC3",0.138773509252327,-0.0978627679553017,0.375409786459955,14.8863863498718,-9.32266664255094,45.5587772580626,0.0907215811047327,0.423373491443008,1.52966369812405,"MZP"
"Female","FOODSEC2 - FOODSEC1",-0.0452124331709331,-0.206615627222292,0.116190760880426,-4.42055821738409,-18.6667787324786,12.3210116248586,0.0618787327643998,0.884593765504013,-0.730661911630886,"MZP"
"Female","FOODSEC3 - FOODSEC1",-0.0796746118979725,-0.228653400159767,0.0693041763638216,-7.65832336635749,-20.4395757974756,7.17621642899233,0.0571154659026281,0.505160930208511,-1.39497438458795,"MZP"
