SEQN,RIAGENDR,RIDAGEYR,RIDRETH1,DMDEDUC2,INDFMPIR
21297,2,46,3,5,5
21298,2,65,3,5,5
21299,1,17,2,NA,1.14
21300,2,83,3,3,2.99
21301,1,12,3,NA,5
21302,1,16,3,NA,1.46
21303,2,34,3,5,5
21304,2,64,3,2,NA
21305,1,75,3,5,5
21306,2,64,3,4,2.72
21307,2,72,3,5,2.72
21308,2,2,4,NA,0.91
21309,2,64,3,2,0.06
21310,1,36,4,2,0.66
21311,1,50,3,4,4.13
21312,1,14,3,NA,4.66
21313,2,22,3,3,0.96
21314,2,10,3,NA,2.29
21315,2,2,1,NA,2.75
21316,2,22,4,4,2.42
21317,2,61,3,4,5
21318,2,19,1,NA,0
21319,1,41,3,3,4.35
21320,2,2,4,NA,0.43
21321,2,32,4,2,0.64
21322,1,0,3,NA,0
21323,2,28,5,3,0.45
21324,1,0,3,NA,1.09
21325,1,32,3,5,5
21326,1,51,1,4,4.95
21327,1,15,3,NA,4.02
21328,2,5,3,NA,2.65
21329,2,46,3,3,0.83
21330,1,0,3,NA,1.18
21331,2,61,1,3,1.22
21332,1,41,3,5,5
21333,2,10,3,NA,2.16
21334,1,1,3,NA,4.79
21335,2,14,1,NA,1.39
21336,1,6,4,NA,1.24
21337,1,14,3,NA,2.39
21338,2,0,1,NA,0
21339,2,43,1,5,5
21340,1,0,5,NA,5
21341,1,9,4,NA,1.2
21342,1,19,1,NA,0.34
21343,2,18,4,NA,2.12
21344,1,50,1,1,3.3
21345,2,63,4,3,2.24
21346,1,42,1,4,1.33
21347,2,12,4,NA,1.38
21348,2,24,4,4,3
21349,1,16,4,NA,5
21350,1,13,1,NA,4.99
21351,2,40,3,4,3.25
21352,1,44,1,3,0.96
21353,2,48,1,1,1.03
21354,2,4,4,NA,0.38
21355,2,43,3,3,1.15
21356,2,36,3,4,2.12
21357,1,45,3,3,4.24
21358,2,17,3,NA,2.65
21359,1,79,1,1,0.79
21360,2,44,3,4,4
21361,2,18,1,NA,NA
21362,1,19,3,NA,5
21363,2,42,4,2,1.31
21364,2,4,4,NA,0.33
21365,2,13,1,NA,0.79
21366,2,16,4,NA,1
21367,1,31,4,2,0
21368,2,11,1,NA,0.82
21369,2,2,3,NA,4.54
21370,1,15,3,NA,4.11
21371,1,68,3,1,1.57
21372,2,8,1,NA,0.39
21373,1,16,3,NA,5
21374,1,6,4,NA,1.31
21375,2,21,4,3,1.16
21376,1,54,3,4,NA
21377,2,7,1,NA,1.03
21378,2,49,1,3,3.14
21379,2,9,3,NA,1
21380,1,21,3,3,4.18
21381,2,8,1,NA,NA
21382,2,51,3,5,NA
21383,2,2,2,NA,5
21384,1,67,3,3,3.6
21385,1,30,3,3,4.79
21386,1,61,3,2,3.6
21387,2,2,4,NA,0.95
21388,2,17,3,NA,0.49
21389,2,14,1,NA,1.96
21390,2,14,3,NA,1.25
21391,1,77,1,1,1
21392,1,16,1,NA,1.01
21393,1,66,3,4,4
21394,2,28,4,2,0.65
21395,2,77,1,4,1.07
21396,2,61,1,1,0.3
21397,1,8,4,NA,2.98
21398,2,5,3,NA,1.53
21399,2,42,4,4,5
21400,2,4,1,NA,2.07
21401,2,18,4,NA,1.82
21402,2,10,3,NA,2.55
21403,2,1,3,NA,0.85
21404,2,79,3,4,0.93
21405,2,3,1,NA,2.12
21406,2,8,4,NA,2.76
21407,2,78,4,4,0.43
21408,2,0,1,NA,0.63
21409,2,45,1,2,0.88
21410,1,14,1,NA,0.82
21411,1,17,5,NA,3.18
21412,1,59,3,5,5
21413,1,23,3,4,1.29
21414,1,18,3,NA,1.85
21415,1,17,4,NA,0.76
21416,1,15,1,NA,1.65
21417,1,18,4,NA,0.37
21418,1,22,4,4,NA
21419,2,58,1,2,2.48
21420,1,39,3,4,4.35
21421,2,21,1,2,0
21422,1,5,4,NA,4.09
21423,1,23,3,4,4.54
21424,2,18,3,NA,4.47
21425,1,17,4,NA,0.07
21426,2,37,1,1,1.41
21427,1,35,3,4,3.01
21428,2,2,3,NA,1.33
21429,1,41,3,4,4.62
21430,1,14,4,NA,1.26
21431,2,24,3,5,2.55
21432,1,30,4,3,2.85
21433,2,66,3,4,3.22
21434,2,12,1,NA,1.15
21435,2,19,1,NA,0.04
21436,2,32,1,3,0
21437,1,26,1,3,2.15
21438,2,11,3,NA,0.67
21439,2,18,1,NA,0.45
21440,1,0,4,NA,0.38
21441,1,37,4,3,5
21442,1,58,3,5,4.48
21443,2,1,1,NA,2.92
21444,1,32,4,3,2.23
21445,2,7,1,NA,NA
21446,2,23,3,5,1.93
21447,2,65,1,1,1.96
21448,1,14,4,NA,2.32
21449,2,44,4,3,0.31
21450,1,5,3,NA,1.59
21451,1,13,5,NA,2.45
21452,2,14,3,NA,2.64
21453,1,20,1,2,1.93
21454,2,0,3,NA,1.02
21455,1,84,3,1,1.5
21456,1,84,3,5,3.3
21457,1,79,4,5,2.78
21458,2,2,3,NA,0.83
21459,1,18,3,NA,4.24
21460,1,71,3,4,5
21461,2,0,1,NA,5
21462,2,19,4,NA,0.48
21463,1,12,4,NA,0.46
21464,2,0,1,NA,0.45
21465,1,41,4,4,1.76
21466,1,28,1,1,0.59
21467,1,39,4,2,1.21
21468,1,85,3,4,NA
21469,1,17,1,NA,0.39
21470,1,13,4,NA,5
21471,1,5,3,NA,2.45
21472,1,45,4,2,0.07
21473,2,14,4,NA,1.38
21474,2,9,5,NA,0.54
21475,1,9,4,NA,1.75
21476,2,47,3,4,4.47
21477,1,20,3,3,3.93
21478,1,13,1,NA,NA
21479,1,5,5,NA,NA
21480,1,0,1,NA,0.92
21481,1,19,3,NA,0.54
21482,1,5,1,NA,NA
21483,2,27,3,5,4.4
21484,1,55,4,4,5
21485,1,14,3,NA,4.24
21486,2,30,3,1,0.92
21487,2,14,4,NA,3.98
21488,1,16,5,NA,1.17
21489,1,43,3,1,0
21490,2,25,3,5,5
21491,1,31,4,2,1.05
21492,1,3,5,NA,2.12
21493,1,16,1,NA,5
21494,1,30,3,3,5
21495,1,21,4,3,0.07
21496,1,10,5,NA,0.05
21497,1,13,3,NA,1.89
21498,1,18,3,NA,3.98
21499,1,62,1,1,2.58
21500,2,66,3,5,4.68
21501,2,65,3,3,2.4
21502,1,84,3,1,1.28
21503,2,0,1,NA,1.19
21504,2,74,5,4,NA
21505,2,18,1,NA,0.65
21506,1,39,3,3,2.29
21507,1,3,4,NA,0.8
21508,2,9,5,NA,5
21509,2,42,3,4,2.92
21510,2,59,3,4,2.29
21511,2,13,4,NA,1.61
21512,2,51,3,2,NA
21513,1,22,4,5,5
21514,2,41,4,4,5
21515,2,12,4,NA,0.57
21516,1,12,1,NA,1.64
21517,2,42,2,1,NA
21518,2,52,4,5,NA
