SEQN,RIAGENDR,RIDAGEYR,RIDRETH1,DMDEDUC2,INDFMPIR
26076,1,48,3,3,4.47
26077,2,17,1,NA,0.66
26078,1,1,3,NA,4.77
26079,2,38,3,4,2.12
26080,1,75,3,3,3.2
26081,1,14,4,NA,1.55
26082,1,3,2,NA,0.95
26083,2,17,4,NA,4.18
26084,2,5,1,NA,2.25
26085,1,14,1,NA,1.9
26086,1,32,4,5,5
26087,1,3,4,NA,0.23
26088,1,17,4,NA,0.89
26089,1,48,3,4,0.87
26090,1,65,3,4,2.88
26091,2,17,4,NA,3.13
26092,1,60,3,3,1.5
26093,2,63,3,2,5
26094,1,19,1,NA,1.67
26095,1,25,3,4,5
26096,1,27,3,5,4.83
26097,1,5,3,NA,4.95
26098,2,58,4,4,2.62
26099,2,6,1,NA,1.39
26100,2,1,1,NA,1.44
26101,2,1,4,NA,0.82
26102,2,30,3,5,4.23
26103,1,6,4,NA,3.67
26104,1,16,1,NA,0.86
26105,1,65,2,3,2.8
26106,1,0,3,NA,4.91
26107,1,6,4,NA,1.62
26108,2,16,1,NA,1.86
26109,1,15,4,NA,5
26110,2,81,3,5,3.22
26111,2,34,1,5,2.07
26112,1,46,3,4,NA
26113,2,16,3,NA,4.59
26114,2,54,5,1,3.65
26115,2,1,4,NA,1.16
26116,2,8,3,NA,4.62
26117,2,48,1,4,0.74
26118,1,4,4,NA,0.64
26119,1,73,3,3,2.16
26120,2,13,3,NA,5
26121,2,17,4,NA,3.86
26122,1,28,1,2,1.4
26123,2,71,3,3,1.72
26124,2,14,1,NA,1.46
26125,2,0,1,NA,NA
26126,1,24,3,3,0.8
26127,2,34,3,4,4.3
26128,1,0,1,NA,0
26129,2,60,3,3,1.2
26130,2,68,3,3,2
26131,1,4,4,NA,0
26132,1,4,3,NA,0.53
26133,2,0,3,NA,3.34
26134,1,59,4,2,3.71
26135,1,45,1,3,5
26136,2,23,4,5,0.79
26137,2,52,3,4,5
26138,1,2,1,NA,0.72
26139,1,2,1,NA,0
26140,2,13,3,NA,1.24
26141,1,1,1,NA,0.56
26142,2,49,3,5,4.51
26143,2,8,3,NA,1.46
26144,1,41,1,1,2.12
26145,1,5,4,NA,0.1
26146,2,40,3,2,0.86
26147,2,8,5,NA,2.65
26148,2,24,4,2,0.25
26149,1,54,1,1,3.28
26150,2,31,3,3,0.8
26151,2,16,4,NA,0.34
26152,2,14,5,NA,3.71
26153,2,22,1,4,1.13
26154,2,25,3,5,1.64
26155,1,71,3,4,0.96
26156,1,62,5,3,1.05
26157,1,17,3,NA,3.42
26158,2,49,3,4,3.93
26159,2,12,3,NA,5
26160,1,0,3,NA,2.77
26161,2,60,3,5,4.95
26162,1,47,3,4,3.8
26163,2,15,1,NA,1.15
26164,2,14,3,NA,3.71
26165,1,11,1,NA,3.6
26166,2,19,4,NA,0.35
26167,2,24,4,5,3.01
26168,2,0,4,NA,0.7
26169,2,17,1,NA,0.98
26170,1,39,4,4,3.45
26171,2,44,3,3,0.45
26172,1,74,3,4,4.3
26173,2,9,4,NA,1.54
26174,1,12,1,NA,0.77
26175,2,4,1,NA,1.02
26176,2,16,4,NA,2.16
26177,2,3,2,NA,0
26178,2,8,3,NA,0.77
26179,2,39,3,3,5
26180,1,20,4,2,1.82
26181,2,85,1,1,1.73
26182,1,19,1,NA,0.25
26183,1,5,1,NA,1.46
26184,2,66,4,5,2.8
26185,2,75,3,2,1
26186,2,28,1,2,NA
26187,1,25,1,3,1.5
26188,1,5,3,NA,0.58
26189,1,1,3,NA,5
26190,1,13,3,NA,2.55
26191,1,49,3,4,3.45
26192,1,44,3,2,1.09
26193,1,15,4,NA,0.32
26194,1,32,1,4,2.72
26195,1,5,4,NA,2.49
26196,1,2,2,NA,1.28
26197,2,3,4,NA,1.62
26198,1,68,5,5,3.2
26199,1,51,2,1,1.82
26200,1,1,4,NA,0.33
26201,2,85,1,1,1.07
26202,2,45,3,3,0.97
26203,2,84,3,5,2.21
26204,1,6,1,NA,0.68
26205,1,85,1,1,0.99
26206,1,11,1,NA,0.35
26207,2,14,4,NA,1.57
26208,1,66,3,3,1.18
26209,2,29,1,3,0.69
26210,1,80,3,1,1.98
26211,1,14,1,NA,1.09
26212,2,30,4,4,0.59
26213,2,59,3,4,5
26214,1,3,3,NA,5
26215,2,73,1,1,0
26216,1,66,1,3,4.24
26217,1,72,4,2,1.12
26218,2,83,3,4,1.88
26219,1,2,1,NA,1.38
26220,1,53,1,1,0.78
26221,1,7,1,NA,1.08
26222,2,14,1,NA,2.45
26223,1,17,3,NA,5
26224,2,16,3,NA,2.65
26225,2,32,1,5,5
26226,1,2,3,NA,1.22
26227,2,70,1,1,0.58
26228,2,51,1,2,2.89
26229,1,26,1,1,1.98
26230,2,36,2,3,2.88
26231,1,82,3,2,1.05
26232,1,16,4,NA,0.68
26233,2,14,4,NA,3.43
26234,1,85,3,3,3.47
26235,2,65,1,4,5
26236,1,2,1,NA,1.83
26237,2,41,2,4,0.51
26238,2,13,1,NA,1.9
26239,1,62,1,4,2.02
26240,1,84,3,2,4.3
26241,1,8,3,NA,1.24
26242,2,1,4,NA,1.59
26243,1,4,3,NA,5
26244,2,12,4,NA,2.64
26245,1,15,4,NA,3.18
26246,2,0,4,NA,2.23
26247,1,13,3,NA,4.11
26248,2,5,4,NA,2.95
26249,2,45,1,1,0.7
26250,1,36,4,4,5
26251,2,1,1,NA,2.25
26252,2,11,3,NA,4.62
26253,1,2,1,NA,0.52
26254,2,44,3,4,3.56
26255,2,72,1,1,1.03
26256,1,53,4,5,1.56
26257,1,1,4,NA,4.09
26258,2,48,4,3,2.72
26259,2,13,4,NA,0.74
26260,1,79,4,2,3.18
26261,2,17,3,NA,4.18
26262,2,36,3,5,4.62
26263,1,16,1,NA,1.39
26264,1,2,3,NA,1.03
26265,1,37,1,3,1.83
26266,1,4,4,NA,0.89
26267,1,63,4,5,NA
26268,2,75,3,1,NA
26269,1,3,3,NA,1.53
26270,2,11,1,NA,4.21
26271,1,60,3,4,5
26272,2,85,3,3,1.78
26273,2,21,4,5,5
26274,1,13,3,NA,4.62
26275,2,72,1,2,4
26276,2,15,3,NA,4.64
26277,2,13,4,NA,0.96
26278,2,7,4,NA,0.3
26279,1,40,4,4,NA
26280,1,16,3,NA,1.46
26281,1,10,4,NA,1.16
26282,2,3,3,NA,0.7
26283,2,12,1,NA,2.03
26284,1,9,3,NA,NA
26285,1,40,5,4,1.24
26286,1,46,5,5,5
26287,2,35,3,5,5
26288,1,3,5,NA,1.39
26289,1,56,3,4,1.92
26290,2,47,3,4,3.93
26291,2,22,3,2,2.56
26292,1,43,3,4,0.39
26293,1,85,3,2,2.23
26294,1,82,3,3,5
26295,2,42,1,5,1.34
26296,2,72,3,2,1.34
26297,1,22,3,4,NA
26298,1,17,3,NA,1.31
26299,1,27,3,3,1
26300,1,71,2,5,5
26301,1,2,4,NA,1.06
26302,1,8,4,NA,1.59
26303,2,11,3,NA,2.5
26304,1,59,4,4,5
26305,2,7,1,NA,1.09
26306,2,9,1,NA,1.08
26307,2,14,1,NA,NA
26308,1,6,4,NA,2.06
26309,1,10,4,NA,0.04
26310,2,31,3,5,5
26311,2,23,3,5,2.89
26312,1,62,1,2,2.8
26313,2,67,4,4,0.68
26314,1,61,1,1,4.13
26315,1,19,1,NA,3.6
26316,2,70,3,3,2.48
26317,1,53,5,5,3.27
26318,2,33,3,5,5
26319,1,1,4,NA,0.13
26320,1,19,3,NA,1.02
26321,1,10,3,NA,3.05
26322,2,6,3,NA,1.64
26323,2,19,3,NA,NA
26324,1,15,1,NA,0.39
26325,2,10,4,NA,4.4
26326,1,18,2,NA,0.22
26327,2,43,3,3,5
26328,2,51,3,5,4.26
26329,2,2,3,NA,NA
26330,2,77,3,2,1.29
26331,2,12,3,NA,5
26332,2,0,1,NA,0.9
26333,1,85,3,3,5
26334,1,12,1,NA,0.76
26335,1,14,1,NA,0.8
26336,1,75,3,2,1.44
26337,2,8,4,NA,2.12
26338,2,39,3,4,5
26339,1,5,1,NA,2.23
26340,2,50,4,3,2.89
26341,1,67,4,1,0.81
26342,2,77,5,3,2.56
26343,2,79,4,2,NA
26344,1,37,3,5,5
26345,2,36,3,3,4.35
26346,2,1,1,NA,0
26347,1,39,3,3,0.11
26348,1,1,1,NA,0.02
26349,1,3,2,NA,0.64
26350,2,82,3,3,2.06
26351,1,5,1,NA,0.8
26352,2,9,3,NA,2.79
26353,1,15,4,NA,1.31
26354,1,5,3,NA,0.99
26355,1,9,1,NA,0.68
26356,1,58,3,5,5
26357,1,1,2,NA,1.6
26358,1,46,3,3,0.77
26359,2,72,5,3,1.16
26360,2,37,3,4,1.38
26361,1,58,4,2,1.82
26362,1,15,1,NA,0.3
26363,1,19,4,NA,0.89
26364,2,20,4,2,0.45
26365,1,61,3,4,NA
26366,2,21,3,2,0.64
26367,1,0,5,NA,2.42
26368,1,31,4,2,1.36
26369,2,34,3,5,5
26370,1,40,1,1,1.58
26371,1,3,5,NA,5
26372,2,7,3,NA,5
26373,2,46,3,4,NA
26374,2,56,3,5,3.3
26375,2,36,3,1,0.56
26376,1,16,4,NA,3.2
26377,1,65,3,1,2.4
26378,1,73,3,5,2.72
26379,1,65,4,1,1.18
26380,1,10,4,NA,0.5
26381,2,15,4,NA,0.59
26382,1,8,3,NA,2.72
26383,1,36,3,5,5
26384,1,4,2,NA,0.72
26385,1,52,4,4,2.87
26386,1,1,2,NA,NA
26387,1,2,1,NA,1.79
26388,1,8,4,NA,1.74
26389,1,71,4,4,1.68
26390,2,2,1,NA,0
26391,2,65,1,1,1.49
26392,1,10,3,NA,2.79
26393,1,16,4,NA,0.85
26394,1,40,1,4,5
26395,1,15,4,NA,0.82
26396,2,25,1,2,0.7
26397,1,34,1,3,1.19
26398,2,15,1,NA,0.03
26399,1,19,1,NA,NA
26400,2,44,3,2,0.32
26401,2,31,3,5,5
26402,2,4,1,NA,1.41
26403,1,7,1,NA,3.1
26404,1,56,4,4,3.06
26405,2,1,4,NA,0.59
26406,1,61,3,2,3.04
26407,1,30,3,5,0.58
26408,2,9,3,NA,5
26409,1,74,3,3,2.48
26410,1,6,3,NA,4.24
26411,2,0,4,NA,1.02
26412,2,48,5,4,1.24
26413,2,37,2,3,1.39
26414,1,19,3,NA,3.52
26415,1,0,1,NA,NA
26416,2,14,1,NA,NA
26417,2,12,1,NA,2.32
26418,2,82,3,2,1.21
26419,1,29,1,5,4.21
26420,2,77,3,1,NA
26421,1,11,3,NA,2.72
26422,2,60,1,5,3.76
26423,1,1,1,NA,1.35
26424,1,3,5,NA,0.19
26425,2,13,3,NA,3.93
26426,2,23,4,3,2.56
26427,1,15,4,NA,2.81
26428,1,72,1,1,0.66
26429,1,44,4,2,0
26430,1,82,3,5,1.53
26431,1,8,3,NA,0
26432,1,48,4,3,5
26433,2,82,3,4,0
26434,1,82,3,3,2.68
26435,2,85,5,3,1.72
26436,1,60,3,3,1.36
26437,2,19,1,NA,1.34
26438,2,85,3,1,2.32
26439,2,3,1,NA,0.65
26440,1,12,3,NA,4.18
26441,1,27,3,4,4.23
26442,1,19,4,NA,0.66
26443,1,38,1,1,0.91
26444,1,18,4,NA,0.33
26445,1,14,1,NA,0.83
26446,1,66,1,1,3.84
26447,2,9,4,NA,0.82
26448,1,17,2,NA,5
26449,2,11,1,NA,1.41
26450,2,15,3,NA,3.71
26451,1,15,1,NA,2.36
26452,2,0,1,NA,0.33
26453,1,4,5,NA,4.64
26454,1,2,3,NA,5
26455,2,4,4,NA,1.52
26456,1,11,1,NA,3.32
26457,2,44,3,5,5
26458,2,38,4,5,4.35
26459,2,5,1,NA,1.34
26460,1,16,3,NA,NA
26461,2,23,2,4,2.9
26462,2,78,1,1,0.74
26463,1,79,3,4,5
26464,2,17,1,NA,2.01
26465,2,15,4,NA,0.96
26466,1,57,3,4,5
26467,1,4,4,NA,1.7
26468,2,7,5,NA,0.8
26469,1,68,4,2,NA
26470,1,15,1,NA,2.65
26471,2,79,1,1,0.8
26472,1,19,3,NA,1.76
26473,2,41,4,3,5
26474,1,61,3,5,5
26475,2,0,1,NA,0
26476,1,15,4,NA,1.09
26477,1,63,4,2,0.75
26478,2,2,5,NA,0.17
26479,2,19,3,NA,NA
26480,1,48,3,3,1.07
26481,1,33,3,3,3.34
26482,1,37,4,5,5
26483,1,38,1,4,5
26484,2,60,4,5,5
26485,2,13,4,NA,2.19
26486,1,18,3,NA,0.11
26487,2,21,3,4,1.65
26488,1,69,3,4,2.72
26489,2,61,2,1,1.84
26490,1,26,1,1,NA
26491,1,78,3,3,5
26492,2,7,1,NA,1.36
26493,2,36,4,3,1.09
26494,2,3,4,NA,2.75
26495,1,15,3,NA,2.63
26496,2,16,4,NA,5
26497,2,2,3,NA,1.51
26498,2,14,5,NA,2.32
26499,1,2,4,NA,0.38
26500,2,25,3,4,2.4
26501,1,77,1,1,1.5
26502,2,23,4,4,0.32
26503,2,80,3,2,0.67
26504,1,73,3,1,1.92
26505,2,4,3,NA,1.83
26506,2,55,3,5,4.51
26507,1,21,3,4,5
26508,2,38,3,4,2.72
26509,2,46,3,4,0.41
26510,1,53,4,2,2.85
26511,2,81,3,2,1.34
26512,1,0,3,NA,NA
26513,2,43,5,4,5
26514,1,13,4,NA,0
26515,1,18,3,NA,2.12
26516,2,18,3,NA,0.86
26517,2,10,3,NA,1.21
26518,1,15,3,NA,0.36
26519,2,42,3,3,1.36
26520,1,0,1,NA,1.46
26521,2,14,1,NA,1
26522,1,15,4,NA,0.61
26523,1,56,3,3,5
26524,2,0,3,NA,NA
26525,2,21,3,3,3.28
26526,1,9,4,NA,0.18
26527,2,0,1,NA,0.88
26528,1,13,4,NA,NA
26529,1,50,3,3,1.56
26530,1,85,2,1,NA
26531,1,9,3,NA,1.91
26532,1,20,4,4,3.93
26533,2,10,1,NA,NA
26534,2,11,3,NA,1.38
26535,1,7,1,NA,3.04
26536,1,81,3,1,NA
26537,2,30,3,5,5
26538,1,1,4,NA,0.66
26539,2,34,3,5,1.23
26540,1,2,2,NA,0.99
26541,2,18,4,NA,0.59
26542,2,15,1,NA,0.74
26543,2,3,4,NA,1.43
26544,1,81,3,4,3.92
26545,1,31,4,4,2.67
26546,2,37,3,4,2.12
26547,2,43,3,3,0.8
26548,1,17,3,NA,5
26549,2,18,3,NA,0.32
26550,1,16,4,NA,0
26551,1,13,4,NA,0
26552,2,29,3,4,2.99
26553,2,52,4,2,0.27
26554,2,29,1,5,2.15
26555,2,26,4,2,0.25
26556,1,19,4,NA,1.38
26557,2,14,4,NA,3.71
26558,2,1,1,NA,2.12
26559,1,15,1,NA,1.31
26560,2,12,1,NA,1.13
26561,1,41,3,5,5
26562,2,4,4,NA,5
26563,1,52,3,3,5
26564,2,43,3,4,0.64
26565,2,50,4,3,2.23
26566,1,36,4,5,4.26
26567,1,85,1,1,1.09
26568,1,17,1,NA,0.68
26569,2,33,1,2,0
26570,2,1,3,NA,5
26571,2,21,1,1,1.02
26572,2,26,3,3,0.98
26573,2,70,1,1,0.66
26574,2,47,4,2,1.7
26575,1,1,1,NA,1.86
26576,1,1,4,NA,1.6
26577,1,85,3,5,1.61
26578,1,19,1,NA,0.3
26579,1,20,3,3,0.27
26580,1,25,5,3,3.27
26581,1,68,3,5,1.75
26582,1,12,5,NA,1.77
26583,2,14,1,NA,0.05
26584,1,50,3,4,4.08
26585,2,49,3,3,5
26586,2,19,1,NA,0.89
26587,2,4,1,NA,2.12
26588,1,32,1,2,1.31
26589,2,50,1,5,5
26590,1,30,4,1,0.75
26591,1,7,1,NA,1.9
26592,1,27,3,4,2.9
26593,1,12,4,NA,NA
26594,2,5,4,NA,1.67
26595,2,7,1,NA,4.21
26596,1,10,4,NA,1.4
26597,2,4,3,NA,1.22
26598,2,2,4,NA,0
26599,2,11,1,NA,1.19
26600,2,15,3,NA,4.08
26601,2,18,4,NA,0.17
26602,2,24,3,4,0.18
26603,1,66,3,3,2.89
26604,2,0,2,NA,0.77
26605,1,0,1,NA,1.27
26606,2,4,3,NA,0.98
26607,1,85,3,1,0.9
26608,1,5,4,NA,2.27
26609,1,43,4,1,1.25
26610,1,19,3,NA,1.34
26611,2,34,5,5,5
26612,2,70,1,1,0.99
26613,1,35,1,3,1.86
26614,1,18,1,NA,0.11
26615,2,2,3,NA,5
26616,1,62,3,3,3.56
26617,2,51,3,3,2
26618,1,13,5,NA,1.36
26619,2,9,3,NA,5
26620,1,37,3,5,5
26621,2,4,4,NA,0.17
26622,2,26,3,5,0.4
26623,1,14,1,NA,3.1
26624,1,31,5,3,1.63
26625,2,23,3,4,0.7
26626,1,13,4,NA,2.64
26627,2,1,1,NA,1.7
26628,2,6,4,NA,1.04
26629,2,6,4,NA,2.31
26630,2,1,1,NA,0.69
26631,1,18,1,NA,0.43
26632,1,82,3,4,1.61
26633,1,15,4,NA,1.51
26634,2,85,1,1,NA
26635,1,12,4,NA,5
26636,2,80,3,5,3.76
26637,1,77,3,4,2.8
26638,2,65,3,3,1.28
26639,2,15,4,NA,2.1
26640,1,30,4,3,0.9
26641,1,71,3,4,2.89
26642,2,60,4,1,0.86
26643,2,22,3,3,4.06
26644,2,12,4,NA,5
26645,2,30,1,1,0.06
26646,2,1,1,NA,4.24
26647,1,80,3,3,5
26648,2,5,1,NA,0
26649,1,40,1,4,5
26650,1,18,4,NA,2.85
26651,1,14,2,NA,0.32
26652,2,1,3,NA,2.4
26653,2,81,3,3,5
26654,2,53,4,5,4.4
26655,2,13,1,NA,3.71
26656,2,18,4,NA,1.03
26657,1,15,4,NA,2.12
26658,2,1,1,NA,3.15
26659,2,9,4,NA,NA
26660,2,13,4,NA,0.24
26661,1,41,3,3,1.21
26662,1,60,3,4,4.59
26663,1,16,5,NA,2.32
26664,2,1,4,NA,0.16
26665,2,17,3,NA,2.12
26666,1,77,3,5,2.06
26667,1,28,3,4,4.47
26668,1,17,1,NA,2.4
26669,1,13,4,NA,0.8
26670,2,19,3,NA,0.07
26671,1,53,3,2,0.8
26672,2,74,4,3,1.66
26673,2,53,1,2,0.95
26674,2,31,1,2,1.04
26675,2,73,3,3,1.2
26676,1,16,4,NA,4.98
26677,1,16,1,NA,1.21
26678,1,9,5,NA,NA
26679,1,10,1,NA,0.83
26680,1,13,4,NA,0.92
26681,1,21,4,4,4.95
26682,2,55,3,4,NA
26683,2,15,3,NA,0
26684,1,39,3,3,2.27
26685,1,51,3,3,1.03
26686,1,12,3,NA,5
26687,1,26,3,4,2.69
26688,2,80,1,1,1.34
26689,1,38,1,2,1.84
26690,1,19,1,NA,0.54
26691,1,0,1,NA,1.67
26692,1,30,5,5,3.97
26693,1,19,4,NA,0.33
26694,1,5,4,NA,1.16
26695,1,16,3,NA,1.17
26696,2,30,3,5,5
26697,1,82,3,5,2.06
26698,2,60,1,1,0.83
26699,1,80,3,3,1.82
26700,2,69,3,3,1.61
26701,1,2,5,NA,3.04
26702,1,51,3,4,NA
26703,1,11,4,NA,0.85
26704,1,6,4,NA,4.35
26705,2,3,1,NA,1.28
26706,1,4,1,NA,1.62
26707,2,16,3,NA,5
26708,2,84,3,2,1.69
26709,2,3,1,NA,3.93
26710,1,0,1,NA,0.74
26711,2,81,3,2,NA
26712,1,5,4,NA,3.63
26713,2,2,4,NA,0.7
26714,2,13,4,NA,1.39
26715,1,17,1,NA,2.85
26716,2,26,4,5,3.54
26717,2,13,1,NA,0.39
26718,1,76,1,1,1.65
26719,2,67,3,3,3.14
26720,1,35,3,5,5
26721,2,68,3,1,1
26722,1,18,1,NA,1.62
26723,1,49,3,5,4.35
26724,1,15,4,NA,0.91
26725,2,26,3,4,5
26726,2,68,3,3,2.4
26727,1,17,4,NA,5
26728,1,84,5,5,5
26729,2,73,3,3,1.34
26730,2,13,3,NA,0.77
26731,1,9,1,NA,1.45
26732,1,19,3,NA,0.86
26733,2,47,3,4,4.8
26734,1,0,3,NA,0.56
26735,1,17,4,NA,3.19
26736,1,39,2,2,1.3
26737,1,6,3,NA,2.09
26738,2,70,3,2,1.5
26739,1,43,1,2,1.06
26740,1,1,1,NA,2.99
26741,2,48,3,4,5
26742,2,16,4,NA,0.56
26743,1,16,4,NA,NA
26744,2,80,1,1,1.6
26745,2,68,3,5,3.2
26746,2,5,4,NA,1.39
26747,1,19,3,NA,0.08
26748,1,19,4,NA,2.89
26749,1,11,3,NA,3.34
26750,1,43,4,5,4.35
26751,2,0,3,NA,0.79
26752,2,37,1,4,1.33
26753,2,41,1,4,5
26754,1,4,3,NA,0.39
26755,1,61,3,4,3.2
26756,2,24,4,4,0.64
26757,2,44,3,5,5
26758,2,2,1,NA,0
26759,2,28,1,3,2.72
26760,1,19,3,NA,NA
26761,2,7,3,NA,0
26762,2,16,2,NA,1.77
26763,1,4,5,NA,2.24
26764,1,8,4,NA,0.26
26765,2,14,3,NA,2.27
26766,1,16,4,NA,2.19
26767,2,45,1,4,5
26768,2,85,3,5,2.24
26769,2,18,4,NA,1.15
26770,2,23,4,4,2.34
26771,1,25,3,4,2.15
26772,2,3,2,NA,NA
26773,1,56,3,4,4.42
26774,2,11,1,NA,4.4
26775,2,85,3,4,0.45
26776,1,13,1,NA,4.67
26777,2,60,3,1,3.2
26778,1,36,3,3,2.81
26779,1,16,4,NA,0.68
26780,1,15,1,NA,1.14
26781,1,18,1,NA,2.23
26782,2,46,3,4,5
26783,2,11,1,NA,0.39
26784,2,53,3,4,1.76
26785,1,84,3,4,2.23
26786,2,37,1,3,2.23
26787,2,13,4,NA,1.43
26788,1,0,3,NA,0.46
26789,2,9,4,NA,0.22
26790,1,16,1,NA,0
26791,1,1,1,NA,0.49
26792,1,6,4,NA,0.28
26793,1,0,3,NA,3.63
26794,2,21,1,2,1.27
26795,1,29,4,2,4.15
26796,2,47,4,3,0.58
26797,1,0,1,NA,1.06
26798,1,8,1,NA,NA
26799,2,80,3,2,1.2
26800,1,15,1,NA,0.28
26801,2,46,3,4,4.47
26802,2,52,3,5,5
26803,1,66,3,4,1.65
26804,2,75,4,1,5
26805,1,11,1,NA,0.12
26806,2,71,3,1,0.8
26807,2,13,3,NA,0.45
26808,2,2,5,NA,2.75
26809,2,46,4,4,5
26810,2,2,3,NA,0.7
26811,1,76,3,3,3.36
26812,1,71,3,3,2.4
26813,2,17,4,NA,0.66
26814,1,13,3,NA,2.63
26815,1,80,5,1,1.2
26816,2,13,5,NA,1.17
26817,1,54,3,5,5
26818,2,67,1,1,1.32
26819,1,39,3,2,2.99
26820,2,12,4,NA,0.8
26821,1,26,3,5,3.34
26822,1,41,4,4,2.4
26823,2,9,1,NA,2.04
26824,1,11,4,NA,4.16
26825,2,17,5,NA,2.36
26826,1,19,3,NA,0.32
26827,2,55,1,3,3.67
26828,1,17,1,NA,1.42
26829,1,24,3,4,1.2
26830,1,19,1,NA,1.11
26831,1,1,3,NA,5
26832,2,68,3,3,3.71
26833,1,0,3,NA,0.42
26834,1,3,3,NA,0.27
26835,1,45,3,5,5
26836,1,65,3,4,5
26837,1,29,3,4,3.01
26838,1,8,5,NA,1.71
26839,2,14,4,NA,2.58
26840,2,55,3,3,5
26841,1,25,4,3,1.39
26842,2,61,4,2,0.63
26843,2,3,4,NA,0.23
26844,2,1,4,NA,0
26845,1,1,4,NA,0.41
26846,1,0,5,NA,0.96
26847,1,1,4,NA,1.97
26848,1,16,3,NA,2.12
26849,1,5,4,NA,0.48
26850,1,13,3,NA,2.12
26851,2,18,1,NA,NA
26852,2,1,3,NA,2.03
26853,2,72,3,3,2.08
26854,1,47,4,4,5
26855,1,60,4,4,3.96
26856,1,10,1,NA,2.5
26857,2,47,4,1,1.29
26858,1,41,1,4,2.34
26859,1,5,4,NA,0.98
26860,1,17,4,NA,3.85
26861,1,11,4,NA,1.59
26862,1,72,3,3,4.56
26863,1,53,4,3,4.34
26864,2,41,1,4,0.88
26865,2,11,3,NA,4.62
26866,2,62,4,3,0.6
26867,1,60,3,5,NA
26868,1,13,1,NA,NA
26869,1,16,1,NA,0.64
26870,2,19,3,NA,0.77
26871,2,61,1,1,0.83
26872,1,85,3,3,3.76
26873,2,17,1,NA,1.58
26874,2,62,3,4,NA
26875,1,0,3,NA,1.36
26876,1,42,4,5,5
26877,2,80,3,1,1.18
26878,1,76,3,5,0
26879,1,65,4,1,1.91
26880,1,42,3,4,3.71
26881,2,59,3,2,1.68
26882,1,85,3,4,1.88
26883,1,72,3,3,1.2
26884,1,65,1,1,0.68
26885,2,83,3,4,4
26886,1,15,1,NA,2.18
26887,1,59,1,2,4.2
26888,1,45,1,1,0.41
26889,1,81,3,5,1.82
26890,2,42,4,2,0.33
26891,2,0,4,NA,0.64
26892,2,8,5,NA,5
26893,2,0,3,NA,1.22
26894,1,8,1,NA,2.5
26895,1,7,4,NA,0.18
26896,1,11,1,NA,1.98
26897,1,16,3,NA,4.35
26898,1,71,3,1,1.22
26899,1,17,1,NA,0.79
26900,2,17,1,NA,1.38
26901,1,29,3,3,0.08
26902,1,42,3,4,2.63
26903,2,0,3,NA,4.35
26904,1,81,1,1,0.58
26905,2,10,5,NA,2.56
26906,2,48,4,3,3.44
26907,1,20,4,2,0.87
26908,1,73,3,5,5
26909,1,31,3,5,5
26910,1,85,3,4,0.86
26911,1,2,1,NA,0.87
26912,2,63,1,3,NA
26913,1,85,3,2,2.88
26914,2,85,3,2,NA
26915,1,48,1,1,2.79
26916,1,68,3,5,3.2
26917,2,82,3,3,1.13
26918,1,0,3,NA,5
26919,1,81,3,4,3.3
26920,1,47,3,5,5
26921,1,1,3,NA,0.14
26922,1,6,4,NA,0.58
26923,2,59,3,5,5
26924,2,16,3,NA,3.25
26925,2,13,1,NA,1.09
26926,1,2,3,NA,1.08
26927,1,0,3,NA,4.96
26928,1,18,1,NA,0.83
26929,2,8,4,NA,NA
26930,2,6,4,NA,1.64
26931,2,2,2,NA,0.36
26932,1,15,4,NA,1.51
26933,2,12,1,NA,4.64
26934,1,8,3,NA,2.79
26935,1,19,4,NA,4.08
26936,1,34,3,3,1.6
26937,2,24,3,4,1.01
26938,1,13,4,NA,0.14
26939,1,64,3,3,3.83
26940,1,27,2,5,3.36
26941,2,43,3,3,4.3
26942,1,4,3,NA,NA
26943,1,2,4,NA,0.19
26944,2,3,4,NA,0.04
26945,1,11,5,NA,0.98
26946,2,2,4,NA,0.39
26947,2,14,1,NA,3.71
26948,2,0,1,NA,1.91
26949,1,0,3,NA,5
26950,1,26,3,5,1.07
26951,1,6,4,NA,NA
26952,1,30,4,3,3.25
26953,1,68,3,5,4.21
26954,1,72,4,2,2.8
26955,1,41,1,2,0.53
26956,1,69,3,2,1.61
26957,2,61,3,4,2.48
26958,1,17,1,NA,2.23
26959,1,16,1,NA,1.11
26960,1,18,1,NA,NA
26961,1,64,3,4,2.69
26962,1,24,3,4,2.55
26963,1,17,4,NA,4.27
26964,1,81,3,4,2
26965,2,8,4,NA,NA
26966,2,85,3,4,2.12
26967,1,56,3,5,5
26968,2,24,1,3,0.46
26969,1,81,3,5,2.04
26970,1,0,1,NA,NA
26971,1,1,5,NA,5
26972,2,41,1,1,2.09
26973,2,46,4,3,0.61
26974,2,49,4,4,2.42
26975,2,34,3,5,5
26976,1,21,3,4,NA
26977,2,3,3,NA,0
26978,2,44,4,4,1.63
26979,1,0,1,NA,0.6
26980,2,16,1,NA,5
26981,2,9,3,NA,3.71
26982,1,11,4,NA,1.59
26983,1,60,4,4,5
26984,2,34,3,4,3.25
26985,2,70,4,4,2.06
26986,2,42,1,3,0.83
26987,1,10,3,NA,0.77
26988,1,1,4,NA,0.26
26989,2,68,3,5,4.08
26990,1,13,3,NA,4.51
26991,1,69,1,3,1.32
26992,2,33,3,5,0.32
26993,1,80,3,1,NA
26994,2,30,4,3,0.46
26995,2,30,4,3,0.46
26996,2,28,3,5,1.07
