SEQN,FSDHH
31999,1
32000,3
32001,1
32002,4
32003,1
32004,1
32005,1
32006,1
32007,1
32008,1
32009,3
32010,1
32011,1
32012,1
32013,1
32014,1
32015,1
32016,1
32017,1
32018,1
32019,1
32020,3
32021,1
32022,1
32023,1
32024,1
32025,2
32026,1
32027,3
32028,NA
32029,1
32030,1
32031,3
32032,2
32033,1
32034,4
32035,1
32036,1
32037,2
32038,2
32039,1
32040,1
32041,1
32042,1
32043,1
32044,1
32045,1
32046,1
32047,1
32048,1
32049,1
32050,4
32051,1
32052,1
32053,3
32054,2
32055,1
32056,2
32057,1
32058,3
32059,1
32060,1
32061,1
32062,1
32063,1
32064,1
32065,NA
32066,1
32067,1
32068,1
32069,1
32070,1
32071,1
32072,1
32073,2
32074,1
32075,1
32076,3
32077,1
32078,1
32079,1
32080,2
32081,3
32082,1
32083,1
32084,1
32085,NA
32086,2
32087,4
32088,4
32089,1
32090,1
32091,NA
32092,1
32093,2
32094,1
32095,1
32096,3
32097,4
32098,1
32099,1
32100,1
32101,1
32102,1
32103,1
32104,1
32105,3
32106,3
32107,1
32108,3
32109,2
32110,1
32111,2
32112,1
32113,1
32114,4
32115,1
32116,1
32117,3
32118,1
32119,2
32120,1
32121,1
32122,1
32123,1
32124,1
32125,1
32126,2
32127,1
32128,1
32129,1
32130,1
32131,1
32132,1
32133,1
32134,1
32135,1
32136,1
32137,2
32138,1
32139,3
32140,1
32141,1
32142,3
32143,1
32144,1
32145,1
32146,1
32147,2
32148,1
32149,3
32150,1
32151,1
32152,4
32153,1
32154,1
32155,1
32156,1
32157,4
32158,1
32159,2
32160,1
32161,3
32162,2
32163,2
32164,1
32165,3
32166,1
32167,1
32168,4
32169,1
32170,1
32171,1
32172,1
32173,1
32174,2
32175,1
32176,1
32177,1
32178,1
32179,4
32180,1
32181,1
32182,1
32183,1
32184,1
32185,3
32186,4
32187,3
32188,1
32189,1
32190,1
32191,1
32192,1
32193,1
32194,3
32195,3
32196,1
32197,1
32198,1
32199,1
32200,1
32201,1
32202,1
32203,1
32204,1
32205,1
32206,1
32207,1
32208,1
32209,1
32210,1
32211,1
32212,1
32213,1
32214,4
32215,4
32216,1
32217,4
32218,2
32219,4
32220,1
32221,1
32222,2
32223,2
32224,1
32225,2
32226,1
32227,2
32228,1
32229,1
32230,1
32231,1
32232,1
32233,2
32234,3
32235,3
32236,2
32237,1
32238,1
32239,1
32240,1
32241,1
32242,1
32243,1
32244,1
32245,1
32246,2
